date,artist,title,YT link
2023-04-28,Pajujo,Zielony Rower Dziadka,https://youtu.be/jqmzgh_HNZw
2023-04-29,Kuba Blokesz,"Cieszę się, że jestem",https://youtu.be/UajMuw6pESA
2023-04-30,MC Silk,Rap Retrospekcje,https://youtu.be/bZkGwb7pUG0
2023-05-01,Plagiat199,Obłęd,https://youtu.be/r_7mJExKHkc
2023-05-02,Koniec Świata,Oranżada,https://youtu.be/gjbLUxHNWdU
2023-05-03,Gooral x Paprodziad,Introspektrum,https://youtu.be/V11efiHwzdA
2023-05-04,Robert Kasprzycki,Niebo do wynajęcia,https://youtu.be/3Lzz2LkwqG0
2023-05-05,Pezet,Magenta,https://youtu.be/Cb-gaZHYoLs
2023-05-06,Hunter,Pomiędzy niebem a piekłem,https://youtu.be/4vJCb3jfR4U
2023-05-07,Big Cyc,Moherowe berety,https://youtu.be/e2uOrxD8t3A
2023-05-08,Agata Grześkiewicz,Nienawidzę poniedziałków,https://youtu.be/f1tgSIHxfpo
2023-05-09,Coma,Angela,https://youtu.be/Xgs5BIu8HUs
2023-05-10,Szad Akrobata,W poczekalni,https://youtu.be/oBMmS2GNeTM
2023-05-11,Łzy,Narcyz się nazwam,https://youtu.be/o2T3cDoa3jQ
2023-05-12,ShataQS,Przywrócenie,https://youtu.be/JpB6I9wF1rI
2023-05-13,Republika,Mamona,https://youtu.be/-R7qqsT6-T8
2023-05-14,Poparzeni kawą trzy,Kawałek do tańca,https://youtu.be/BpS6xNrnMVc
2023-05-15,Zeus,"Muzyka, miłość, przyjaźń",https://youtu.be/epSgIutoTi0
2023-05-16,Enej,Rahela,https://youtu.be/14f9GrAHnUU
2023-05-17,Dr Misio,Młodzi,https://youtu.be/7vnqnrOuTOs
2023-05-18,Happysad,Hymn 78,https://youtu.be/IKoIF3MeBIQ
2023-05-19,Tabasko,Dzieci kwiaty,https://youtu.be/BDb0l7JE2WY
2023-05-20,Star Guard Muffin,SGM United,https://youtu.be/KiuqbbAWZI4
2023-05-21,The Cuts,Anastazja,https://youtu.be/cOXZuobuOIo
2023-05-22,Elektryczne gitary,Co Ty Tutaj Robisz,https://youtu.be/ZkdvU7nPM5Q
2023-05-23,Molesta & Jamal,Tak miało być,https://youtu.be/y6gta7eQIa8
2023-05-24,Akurat,Pa pa pa,https://youtu.be/9-3fwWIlQuY
2023-05-25,Hesik & Cezet,Sampling,https://youtu.be/MVkcg-TheD8
2023-05-26,Goya ,Mój,https://youtu.be/orw_Kl5QTd0
2023-05-27,Tilt,"Mówię ci, że...",https://youtu.be/8jUmvXlzOmM
2023-05-28,Roszak Show,Na mie je kolej,https://youtu.be/qCdvLFX0xxI
2023-05-29,Fismol,Na co ci to było,https://youtu.be/v_47nd8e1oE
